Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",2,25,0.23323402,1,1,48,D,Covert,4,
"[255, 0, 0]",0,0,0.21061584,1,1,49,D,Covert,4,
"[255, 0, 0]",2,40,0.28031935,1,1,50,D,Covert,4,
"[255, 0, 0]",0,30,0.23430811,1,1,51,D,Covert,4,
"[255, 0, 0]",0,35,0.28602351,1,1,52,D,Covert,4,
"[255, 0, 0]",2,20,0.23007641,1,1,53,D,Covert,4,
"[255, 0, 0]",2,35,0.21731007,1,1,54,D,Covert,4,
"[255, 0, 0]",2,5,0.23274567,1,1,55,D,Covert,4,
"[255, 0, 0]",0,10,0.27553923,1,1,56,D,Covert,4,
"[255, 0, 0]",2,10,0.20455557,1,1,57,D,Covert,4,
"[255, 0, 0]",2,10,0.28715608,1,1,58,D,Covert,4,
"[255, 0, 0]",0,30,0.30295536,1,1,59,D,Covert,4,
"[255, 0, 0]",0,25,0.30494918,1,1,60,D,Covert,4,
"[255, 0, 0]",2,0,0.22215173,1,1,61,D,Covert,4,
"[255, 0, 0]",2,5,0.2465889,1,1,62,D,Covert,4,
"[255, 0, 0]",0,40,0.24906009,1,1,63,D,Covert,4,
"[255, 0, 0]",2,30,0.24698432,1,1,64,D,Covert,4,
"[255, 0, 0]",0,5,0.14894454,1,1,65,D,Covert,4,
"[255, 0, 0]",2,35,0.26340792,1,1,66,D,Covert,4,
"[255, 0, 0]",0,40,0.1326567,1,1,67,D,Covert,4,
"[255, 0, 0]",2,10,0.25825599,1,1,68,D,Covert,4,
"[255, 0, 0]",0,40,0.30970849,1,1,69,D,Covert,4,
"[255, 0, 0]",2,40,0.24968863,1,1,70,D,Covert,4,
"[255, 0, 0]",0,20,0.24463656,1,1,71,D,Covert,4,
"[255, 0, 0]",0,30,0.27120371,1,1,72,D,Covert,4,
"[255, 0, 0]",0,20,0.18041528,1,1,1,D,Covert,4,
"[255, 0, 0]",0,30,0.29222288,1,1,2,D,Covert,4,
"[255, 0, 0]",2,40,0.18936598,1,1,3,D,Covert,4,
"[255, 0, 0]",0,40,0.19739318,1,1,4,D,Covert,4,
"[255, 0, 0]",2,0,0.1555186,1,1,5,D,Covert,4,
"[255, 0, 0]",0,10,0.17609649,1,1,6,D,Covert,4,
"[255, 0, 0]",0,5,0.22195551,1,1,7,D,Covert,4,
"[255, 0, 0]",2,35,0.18537844,1,1,8,D,Covert,4,
"[255, 0, 0]",2,35,0.2219661,1,1,9,D,Covert,4,
"[255, 0, 0]",0,0,0.20148856,1,1,10,D,Covert,4,
"[255, 0, 0]",0,20,0.19928396,1,1,11,D,Covert,4,
"[255, 0, 0]",2,25,0.16603642,1,1,12,D,Covert,4,
"[255, 0, 0]",0,5,0.06283276,1,1,13,D,Covert,4,
"[255, 0, 0]",2,40,0.01822225,1,1,14,D,Covert,4,
"[255, 0, 0]",2,15,0.20378094,1,1,15,D,Covert,4,
"[255, 0, 0]",0,40,0.38587589,1,1,16,D,Covert,4,
"[255, 0, 0]",0,25,0.21199241,1,1,17,D,Covert,4,
"[255, 0, 0]",2,5,0.27444103,1,1,18,D,Covert,4,
"[255, 0, 0]",2,30,0.20132891,1,1,19,D,Covert,4,
