Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[0, 0, 255]",2,20,0.47641549,1,3,393,C,Overt,4
"[0, 0, 255]",0,30,0.82462433,1,3,398,C,Overt,4
"[0, 0, 255]",2,20,0.39209852,1,3,405,C,Overt,4
"[0, 0, 255]",2,40,0.46155569,1,3,408,C,Overt,4
"[0, 0, 255]",2,35,0.59720168,1,3,410,C,Overt,4
"[0, 0, 255]",0,15,0.48483553,1,3,411,C,Overt,4
"[0, 0, 255]",0,0,0.46526007,1,3,412,C,Overt,4
"[0, 0, 255]",2,40,0.45939784,1,3,414,C,Overt,4
"[0, 0, 255]",2,0,0.54082975,1,3,416,C,Overt,4
"[0, 0, 255]",2,0,0.48797791,1,3,418,C,Overt,4
"[0, 0, 255]",2,10,0.43201465,1,3,421,C,Overt,4
"[0, 0, 255]",0,25,0.53614891,1,3,422,C,Overt,4
"[0, 0, 255]",0,40,0.87012023,1,3,424,C,Overt,4
"[0, 0, 255]",2,15,0.34226419,1,3,425,C,Overt,4
"[0, 0, 255]",0,35,0.44205473,1,3,433,C,Overt,4
"[0, 0, 255]",0,40,1.22591655,1,3,443,C,Overt,4
"[0, 0, 255]",0,10,0.38294241,1,3,445,C,Overt,4
"[0, 0, 255]",2,20,0.50053256,1,3,447,C,Overt,4
"[0, 0, 255]",2,40,0.42383295,1,3,451,C,Overt,4
"[0, 0, 255]",2,10,0.52315293,1,3,452,C,Overt,4
"[0, 0, 255]",2,35,0.44581132,1,3,454,C,Overt,4
"[0, 0, 255]",0,10,0.35615505,1,3,458,C,Overt,4
"[0, 0, 255]",2,25,0.58512221,1,3,460,C,Overt,4
"[0, 0, 255]",0,0,0.37285777,1,3,464,C,Overt,4
"[0, 0, 255]",2,5,0.30382953,0,3,465,C,Overt,4
"[0, 0, 255]",0,25,0.3120025,0,3,467,C,Overt,4
"[0, 0, 255]",0,20,0.44398837,1,3,468,C,Overt,4
"[0, 0, 255]",2,25,0.3932077,1,3,478,C,Overt,4
"[0, 0, 255]",0,35,0.45372325,1,3,482,C,Overt,4
"[0, 0, 255]",2,20,0.43469264,1,3,484,C,Overt,4
"[0, 0, 255]",2,25,0.47823087,1,3,486,C,Overt,4
"[0, 0, 255]",0,25,0.42701633,1,3,488,C,Overt,4
"[0, 0, 255]",0,0,0.45872673,1,3,491,C,Overt,4
"[0, 0, 255]",0,30,0.51074871,1,3,493,C,Overt,4
"[0, 0, 255]",2,10,0.70853763,1,3,494,C,Overt,4
"[0, 0, 255]",2,10,0.47360488,1,3,496,C,Overt,4
"[0, 0, 255]",0,10,0.46786193,1,3,500,C,Overt,4
"[0, 0, 255]",2,25,0.53236797,1,3,503,C,Overt,4
"[0, 0, 255]",0,10,0.6509945,0,3,504,C,Overt,4
"[0, 0, 255]",2,30,0.4865107,1,3,507,C,Overt,4
"[0, 0, 255]",0,0,0.36734548,1,3,509,C,Overt,4
"[0, 0, 255]",2,5,0.29581717,0,3,511,C,Overt,4
"[0, 0, 255]",2,35,0.30865224,1,3,512,C,Overt,4
"[0, 0, 255]",0,5,0.39940182,1,3,514,C,Overt,4
"[0, 0, 255]",2,30,0.36278174,1,3,517,C,Overt,4
"[0, 0, 255]",0,30,0.29632823,0,3,518,C,Overt,4
"[0, 0, 255]",0,15,0.42852923,1,3,524,C,Overt,4
"[0, 0, 255]",0,20,0.5376255,1,3,525,C,Overt,4
"[0, 0, 255]",0,30,0.61730375,1,3,527,C,Overt,4
"[0, 0, 255]",2,25,0.44832776,1,3,529,C,Overt,4
"[0, 0, 255]",2,10,0.58879214,1,3,530,C,Overt,4
"[0, 0, 255]",2,15,0.42559136,1,3,534,C,Overt,4
"[0, 0, 255]",0,40,0.40733917,1,3,537,C,Overt,4
"[0, 0, 255]",2,35,0.36335449,1,3,538,C,Overt,4
"[0, 0, 255]",0,25,0.39762963,1,3,540,C,Overt,4
"[0, 0, 255]",0,10,0.44530072,1,3,541,C,Overt,4
"[0, 0, 255]",0,0,0.40544162,1,3,543,C,Overt,4
"[0, 0, 255]",0,25,0.4262801,1,3,551,C,Overt,4
"[0, 0, 255]",2,40,0.44433579,1,3,552,C,Overt,4
"[0, 0, 255]",0,10,0.61937633,1,3,557,C,Overt,4
"[0, 0, 255]",0,30,0.33278495,1,3,291,D,Overt,4
"[0, 0, 255]",0,35,0.20790446,0,3,294,D,Overt,4
"[0, 0, 255]",2,0,0.22078101,1,3,297,D,Overt,4
"[0, 0, 255]",0,0,0.34914318,1,3,302,D,Overt,4
"[0, 0, 255]",0,30,0.33232176,1,3,306,D,Overt,4
"[0, 0, 255]",2,40,0.2700956,1,3,308,D,Overt,4
"[0, 0, 255]",2,10,0.30942929,1,3,309,D,Overt,4
"[0, 0, 255]",2,15,0.43481898,1,3,310,D,Overt,4
"[0, 0, 255]",2,10,0.23145013,1,3,312,D,Overt,4
"[0, 0, 255]",2,40,0.37572014,1,3,314,D,Overt,4
"[0, 0, 255]",0,5,0.32891744,1,3,317,D,Overt,4
"[0, 0, 255]",2,20,0.30904644,0,3,318,D,Overt,4
"[0, 0, 255]",0,25,0.42449202,1,3,319,D,Overt,4
"[0, 0, 255]",2,10,0.25211997,0,3,321,D,Overt,4
"[0, 0, 255]",2,5,0.33294075,1,3,322,D,Overt,4
"[0, 0, 255]",2,25,0.33649384,1,3,325,D,Overt,4
"[0, 0, 255]",0,0,0.2965709,1,3,326,D,Overt,4
"[0, 0, 255]",2,25,0.31701637,1,3,334,D,Overt,4
"[0, 0, 255]",0,15,0.33550636,1,3,336,D,Overt,4
"[0, 0, 255]",2,40,0.33433512,1,3,338,D,Overt,4
"[0, 0, 255]",2,5,0.3101372,1,3,350,D,Overt,4
"[0, 0, 255]",2,30,0.27408141,1,3,351,D,Overt,4
"[0, 0, 255]",0,20,0.37949278,1,3,357,D,Overt,4
"[0, 0, 255]",2,25,0.22607421,1,3,358,D,Overt,4
"[0, 0, 255]",0,0,0.2979751,1,3,361,D,Overt,4
"[0, 0, 255]",2,40,0.39232132,1,3,366,D,Overt,4
"[0, 0, 255]",0,0,0.57434031,1,3,367,D,Overt,4
"[0, 0, 255]",2,30,0.30519091,0,3,373,D,Overt,4
"[0, 0, 255]",2,20,0.33778594,1,3,381,D,Overt,4
"[0, 0, 255]",0,5,0.21775913,1,3,382,D,Overt,4
"[0, 0, 255]",0,20,0.2645388,1,3,383,D,Overt,4
"[0, 0, 255]",0,20,0.34369862,1,3,388,D,Overt,4
"[0, 0, 255]",2,30,0.30365834,1,3,390,D,Overt,4
"[0, 0, 255]",0,5,0.34726361,1,3,391,D,Overt,4
"[0, 0, 255]",0,30,0.23044801,0,3,394,D,Overt,4
"[0, 0, 255]",2,30,0.29824778,1,3,396,D,Overt,4
"[0, 0, 255]",0,40,0.25895515,0,3,399,D,Overt,4
"[0, 0, 255]",0,5,0.31645423,1,3,400,D,Overt,4
"[0, 0, 255]",2,5,0.24131497,1,3,402,D,Overt,4
"[0, 0, 255]",0,15,0.30268969,0,3,404,D,Overt,4
"[0, 0, 255]",0,25,0.2644643,1,3,407,D,Overt,4
"[0, 0, 255]",0,30,0.31508477,1,3,410,D,Overt,4
"[0, 0, 255]",0,20,0.25257375,0,3,413,D,Overt,4
